videoId,topicCategoryId
Apl0YNlt-Lo,15
Apl0YNlt-Lo,16
Apl0YNlt-Lo,12
Apl0YNlt-Lo,14
5lL0EovVe7U,20
5lL0EovVe7U,14
JpQOtc-YgUY,14
Z0SUaQQewxo,16
Z0SUaQQewxo,12
Z0SUaQQewxo,14
AApSbOFX8QM,15
AApSbOFX8QM,21
AApSbOFX8QM,14
FawzmATN0w4,15
FawzmATN0w4,16
FawzmATN0w4,14
k4_3-ulXkm8,15
k4_3-ulXkm8,16
k4_3-ulXkm8,14
w9XBlSsMhAA,16
w9XBlSsMhAA,12
w9XBlSsMhAA,19
w9XBlSsMhAA,14
yY1Z_pXxtzo,15
yY1Z_pXxtzo,16
yY1Z_pXxtzo,12
yY1Z_pXxtzo,14
Qrg92wDlUUg,15
Qrg92wDlUUg,16
Qrg92wDlUUg,12
Qrg92wDlUUg,14
CZFbISeEoUg,15
CZFbISeEoUg,16
CZFbISeEoUg,14
MqWvvcCyGE8,15
MqWvvcCyGE8,16
MqWvvcCyGE8,12
MqWvvcCyGE8,14
ibuIqardloY,14
_3fkGHIXEcM,13
_3fkGHIXEcM,14
QqhSvu_m9So,14
PI9ujdO8Cu0,15
PI9ujdO8Cu0,16
PI9ujdO8Cu0,12
PI9ujdO8Cu0,14
7EeLJ-XtMO4,15
7EeLJ-XtMO4,16
7EeLJ-XtMO4,14
YsyacuVB7K4,16
YsyacuVB7K4,18
YsyacuVB7K4,20
YsyacuVB7K4,14
6Lnpbd3bgAs,14
1EuOv06sSgs,15
1EuOv06sSgs,16
1EuOv06sSgs,12
1EuOv06sSgs,19
1EuOv06sSgs,14
dYUulSpnQXk,15
dYUulSpnQXk,16
dYUulSpnQXk,12
dYUulSpnQXk,14
WH3jT53hIYM,15
WH3jT53hIYM,16
WH3jT53hIYM,12
WH3jT53hIYM,19
WH3jT53hIYM,14
rC3a6hzN5lU,14
cnIKVH9m0GY,20
cnIKVH9m0GY,14
bnOGgzvXyS8,17
bnOGgzvXyS8,21
bnOGgzvXyS8,14
iycsIagZbyg,17
iycsIagZbyg,14
rR5vyzjGwmk,15
rR5vyzjGwmk,16
rR5vyzjGwmk,12
rR5vyzjGwmk,19
rR5vyzjGwmk,14
13EkBZX_njY,15
13EkBZX_njY,16
13EkBZX_njY,12
13EkBZX_njY,14
JE1ed-X_4DU,15
JE1ed-X_4DU,16
JE1ed-X_4DU,12
JE1ed-X_4DU,19
JE1ed-X_4DU,14
eiQHRekdXLM,15
eiQHRekdXLM,16
eiQHRekdXLM,12
eiQHRekdXLM,14
Drjp_c77DAE,15
Drjp_c77DAE,16
Drjp_c77DAE,12
Drjp_c77DAE,14
3EiC0SPLFjw,15
3EiC0SPLFjw,16
3EiC0SPLFjw,14
HwsjxcUNu40,15
HwsjxcUNu40,16
HwsjxcUNu40,12
HwsjxcUNu40,14
z7aTfXzRCV8,15
z7aTfXzRCV8,16
z7aTfXzRCV8,12
z7aTfXzRCV8,19
z7aTfXzRCV8,14
GJxX2hEZt3U,16
GJxX2hEZt3U,12
GJxX2hEZt3U,14
fxvSEpFoam8,22
fxvSEpFoam8,14
JdkFQ3w2dC8,22
1QRq4iqYK_Q,23
1QRq4iqYK_Q,22
MuzrpFOngmg,23
MuzrpFOngmg,22
PTe5n3oSnX8,22
gfKZRifV7YE,22
5-iG8ocg5nk,22
CTH0Zf3YiUk,23
CTH0Zf3YiUk,22
h0Jg22W5PvI,22
h0Jg22W5PvI,14
qGBeFJFMsOg,23
qGBeFJFMsOg,22
j7C9xazYmAc,22
Ai14WPlKO-s,22
Ai14WPlKO-s,14
5K5mbNF0WcY,22
5K5mbNF0WcY,14
1zL7JAoaGUA,22
pHUZdsmphNc,22
XL0fRZNmWUc,23
XL0fRZNmWUc,22
aRWf0UCgI9o,23
aRWf0UCgI9o,22
_V6W1NguggQ,22
WkIR23emsWY,23
WkIR23emsWY,22
_Zv_uePXwMA,22
16jDklkdQno,24
16jDklkdQno,22
U4Y8nK-SiIY,22
GdFIjsMfSc8,23
GdFIjsMfSc8,22
QjXxRGEWy2s,23
QjXxRGEWy2s,22
XBj7noXdzCE,22
DnjATyPuFFk,22
65ciAONXv0M,25
65ciAONXv0M,23
65ciAONXv0M,22
s17pV9q_eb4,22
c0jalBT5yWw,22
3mI6QvWh7Rk,22
Sh7dHkq9DPc,22
WJ8v-twXSkU,25
WJ8v-twXSkU,23
WJ8v-twXSkU,22
VOrFMUfs9uc,22
WDsr237ozKQ,22
y9vgzLZkHVg,22
oSxCeafK8mA,22
oSxCeafK8mA,14
MoCQygYFvJE,24
MoCQygYFvJE,22
S2drV2u3hZc,22
S2drV2u3hZc,14
uSGVk2KVokQ,22
9mISqai2KI4,22
TevJjwAQXt8,23
TevJjwAQXt8,22
EqyGpXK2fSU,22
EqyGpXK2fSU,14
sRmVEnP-EXs,22
1JGJt9aMYjo,23
1JGJt9aMYjo,22
zIHFIc-vkjE,26
zIHFIc-vkjE,22
