video_index,publishedAt,duration,viewCount,likeCount,commentCount,categoryId,channel_ids.Indice
639,2024-10-12 13:30:06,00:00:37,1181302,110518,21202,17,639
692,2024-10-13 03:55:30,00:00:37,1121961,32363,2057,17,692
702,2024-10-10 20:00:11,00:00:37,1394153,51095,318,17,702
113,2024-10-11 20:22:53,00:00:38,1664357,174188,578,1,113
497,2024-10-09 00:08:50,00:00:38,2264049,81719,480,28,497
594,2024-10-10 17:47:51,00:00:38,1520512,60679,1563,17,594
653,2024-10-13 19:47:35,00:00:38,1310042,66350,182,17,653
664,2024-10-11 18:45:01,00:00:38,573106,26553,174,17,664
668,2024-10-08 13:50:03,00:00:38,3084419,278469,4106,17,668
157,2024-10-05 21:24:53,00:00:39,4759304,170947,1848,1,157
313,2024-10-16 22:02:06,00:00:39,803260,75767,745,28,313
353,2024-10-16 19:35:41,00:00:39,331220,22482,160,28,353
52,2024-10-15 00:26:58,00:00:40,16361798,708891,3277,1,52
441,2024-10-01 22:00:48,00:00:40,7361737,442030,808,28,441
679,2024-10-06 16:45:02,00:00:40,812304,18025,814,17,679
706,2024-10-01 16:00:51,00:00:40,12613635,1011537,4018,17,706
10,2024-10-14 09:41:57,00:00:41,4106633,579879,1087,1,10
100,2024-10-16 19:09:47,00:00:41,1896809,106141,506,1,100
107,2024-10-17 18:32:01,00:00:41,820942,86433,1216,1,107
547,2024-10-15 01:35:27,00:00:41,733849,66631,259,17,547
641,2024-10-11 01:55:11,00:00:41,236633,16975,152,17,641
377,2024-10-10 01:01:28,00:00:42,388936,20729,282,28,70
316,2024-10-12 22:00:01,00:00:42,2731511,232439,2369,28,316
321,2024-10-12 19:00:08,00:00:42,978322,0,811,28,321
371,2024-10-11 23:39:43,00:00:42,553334,41114,520,28,371
17,2024-10-13 02:18:14,00:00:43,4683028,260652,1382,1,17
133,2024-10-10 16:15:59,00:00:43,6702572,383215,632,1,133
156,2024-10-13 22:30:46,00:00:43,783385,56696,2993,1,156
536,2024-10-12 06:19:20,00:00:43,1806384,156455,1488,17,536
130,2024-10-12 17:00:19,00:00:44,1758950,101705,146,1,130
404,2024-10-15 15:55:30,00:00:44,312252,18672,252,28,404
526,2024-10-12 15:00:11,00:00:44,4977234,294604,422,17,526
541,2024-10-09 17:54:17,00:00:44,2384618,137471,960,17,541
552,2024-10-10 23:17:36,00:00:44,2069206,101413,261,17,552
111,2024-10-11 22:17:26,00:00:45,4060417,235932,932,1,111
185,2024-10-06 00:12:55,00:00:45,7825813,338939,9599,1,185
475,2024-09-17 17:03:00,00:00:45,5442624,310648,2538,28,475
558,2024-10-10 22:02:56,00:00:45,1267152,71510,1370,17,558
684,2024-10-16 01:58:16,00:00:45,3864933,283680,975,17,684
101,2024-10-11 20:25:10,00:00:46,2542054,389447,1006,1,101
151,2024-10-11 17:00:36,00:00:46,1461092,20861,1150,1,151
189,2024-10-13 15:57:00,00:00:46,686176,32188,76,1,189
193,2024-10-17 18:00:14,00:00:46,690920,54251,328,1,193
339,2024-10-13 15:47:00,00:00:46,987455,38186,246,28,339
369,2024-09-28 16:00:48,00:00:46,1200271,17267,1314,28,369
347,2024-10-14 21:00:16,00:00:47,448231,20024,694,28,347
685,2024-10-12 02:50:25,00:00:47,1641229,57689,339,17,685
142,2024-10-08 03:00:30,00:00:48,3330304,124056,2463,1,142
318,2024-10-15 04:47:09,00:00:48,998975,69864,326,28,318
488,2024-09-16 20:48:00,00:00:48,3647602,122553,1028,28,488
578,2024-10-05 00:30:04,00:00:48,6002714,465707,1824,17,578
698,2024-10-09 01:53:50,00:00:48,1100553,58191,488,17,698
110,2024-10-04 06:49:14,00:00:49,11323522,780699,3587,1,110
154,2024-10-13 13:20:00,00:00:49,2013530,35955,66,1,154
317,2024-10-09 21:52:24,00:00:49,4388527,252801,1125,28,317
466,2024-10-14 18:04:07,00:00:49,134058,8038,283,28,466
32,2024-10-09 21:54:16,00:00:50,4722423,135599,1668,1,32
57,2024-10-14 02:17:00,00:00:50,2863494,266424,271,1,57
171,2024-10-11 16:57:43,00:00:50,1543748,67688,639,1,171
632,2024-10-09 03:00:33,00:00:50,619734,27166,580,17,632
46,2024-10-13 16:36:32,00:00:51,4595269,169219,915,1,46
78,2024-10-10 16:48:37,00:00:51,1998774,66384,331,1,78
117,2024-10-12 20:15:04,00:00:51,2294408,164395,1998,1,117
180,2024-10-07 00:30:01,00:00:51,2208106,125548,295,1,180
184,2024-10-10 15:30:01,00:00:51,3693928,205171,340,1,184
80,2024-10-02 21:08:29,00:00:52,11032691,637381,2397,1,80
153,2024-10-11 19:01:23,00:00:52,3286881,232689,156,1,153
312,2024-10-15 01:02:13,00:00:52,1462299,57878,315,28,312
366,2024-10-12 01:29:02,00:00:52,309724,18555,171,28,366
395,2024-10-12 20:29:49,00:00:52,1224425,0,306,28,395
575,2024-10-10 18:00:05,00:00:52,1517330,99055,558,17,575
37,2024-10-10 11:00:44,00:00:53,4718117,314046,1344,1,37
81,2024-10-11 05:09:55,00:00:53,2719719,317195,433,1,81
82,2024-10-13 19:21:00,00:00:53,1861919,123648,318,1,82
112,2024-10-14 18:13:41,00:00:53,1713308,116637,867,1,112
120,2024-10-14 15:00:23,00:00:53,1870269,97148,155,1,120
173,2024-10-16 21:27:01,00:00:53,506706,52784,413,1,173
557,2024-10-11 10:55:00,00:00:53,3280746,167036,399,17,557
650,2024-09-30 18:19:08,00:00:53,766507,0,85,17,650
3,2024-10-09 09:05:22,00:00:54,15586660,1164344,3162,1,3
31,2024-10-10 20:00:00,00:00:54,6994862,564804,487,1,31
63,2024-10-10 04:39:20,00:00:54,1458158,242198,426,1,63
69,2024-10-11 06:24:15,00:00:54,2273667,162156,4605,1,69
144,2024-10-12 16:00:32,00:00:54,2423042,162877,849,1,144
152,2024-10-12 19:56:05,00:00:54,2637014,256089,531,1,152
158,2024-10-07 16:00:41,00:00:54,4548475,238361,387,1,158
161,2024-10-13 19:00:12,00:00:54,1059793,61068,373,1,161
181,2024-10-14 02:48:34,00:00:54,878438,44644,923,1,181
562,2024-10-05 02:39:44,00:00:54,4204116,159022,1671,17,562
620,2024-10-11 14:30:16,00:00:54,1980241,75447,2399,17,620
625,2024-10-10 01:16:15,00:00:54,867589,44486,153,17,625
75,2024-10-07 02:00:26,00:00:55,11257397,720895,766,1,75
90,2024-10-16 23:00:28,00:00:55,740629,94358,109,1,90
93,2024-10-16 05:58:28,00:00:55,1411151,141685,147,1,93
102,2024-10-10 17:30:19,00:00:55,4509443,144432,2065,1,102
322,2024-10-17 19:15:00,00:00:55,324697,34088,354,28,224
319,2024-10-14 19:37:47,00:00:55,842151,42427,1157,28,319
335,2024-10-05 17:35:00,00:00:55,1776192,103207,698,28,335
